id,relid,year,start_year,end_year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,iso3,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,#date+year+start,#date+year+end,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#country+code,#geo+lon,,,#country+name,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
180008,ISR-2010-1-381-3110,2010,2010,2010,0,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,-1,"Reuters, 2010-01-06, ""UPDATE 2-Egypt, Hamas exchange fire on Gaza frontier, 1 dead "", BBC Monitoring, 2010-01-06, ""(Corr) Egyptian soldier killed by Palestinian sniper - Egyptian TV",,,,"Egyptian army, witnesses",1,Rafah border corssing,"Egyptian side of Rafah border crossing, Gaza Strip",North Sinai governorate,,31.247590,EGY,34.257429,POINT (34.257429 31.247590),174669,Egypt,651,Middle East,1,1,2010-01-06 00:00:00.000,2010-01-06 00:00:00.000,1,0,0,0,1,1,1,666,
7198,EGY-1992-1-241-1,1992,1992,1992,0,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Globe and Mail, 1992-08-24, ""WORLD IN BRIEF Curfew imposed on Egyptian town",,,,police,1,Dayrut town,"Dayrut town, Assiut governorate",Assiut governorate,,27.558611,EGY,30.807778,POINT (30.807778 27.558611),169622,Egypt,651,Middle East,1,1,1992-08-23 00:00:00.000,1992-08-23 00:00:00.000,0,7,0,0,7,7,7,651,
7499,EGY-1992-1-241-2,1992,1992,1992,0,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"NY Times, 1992-12-10, ""Egypt Tightens the Net Around Its Militant Opposition",,,,police,2,Cairo city,Cairo city (near),Cairo governorate,,30.050000,EGY,31.250000,POINT (31.250000 30.050000),173223,Egypt,651,Middle East,1,1,1992-12-09 00:00:00.000,1992-12-09 00:00:00.000,0,3,0,0,3,3,3,651,
7501,EGY-1992-1-241-3,1992,1992,1992,0,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Straits Times, 1992-12-13, ""Muslim militant chief held in raids on Cairo stronghold",,,,police,1,Cairo city,Cairo city (Imbaba section/neighborhood),Cairo governorate,,30.050000,EGY,31.250000,POINT (31.250000 30.050000),173223,Egypt,651,Middle East,1,2,1992-12-10 00:00:00.000,1992-12-13 00:00:00.000,1,0,0,0,1,1,1,651,
7500,EGY-1993-1-241-1,1993,1993,1993,1,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1993-02-02, ""Egypt Myslims Call Raids 'Holy War",,,,police,1,Cairo city,Cairo city (Bulaq district),Cairo governorate,,30.050000,EGY,31.250000,POINT (31.250000 30.050000),173223,Egypt,651,Middle East,1,1,1993-01-24 00:00:00.000,1993-01-24 00:00:00.000,0,0,0,0,0,2,0,651,
6744,EGY-1993-1-241-2,1993,1993,1993,1,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Svenska Dagbladet, 1993-02-18, ""Fanatiker beskt turistbussar",,,,police,1,Monfalut town,"Monfalut town, Assiut  governorate",Assiut governorate,,27.311111,EGY,30.969444,POINT (30.969444 27.311111),168902,Egypt,651,Middle East,1,1,1993-02-16 00:00:00.000,1993-02-16 00:00:00.000,0,1,0,0,1,1,1,651,
7250,EGY-1993-1-241-3,1993,1993,1993,1,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1993-03-05, ""http://www.visionofhumanity.org/gpi/home.php",,,,police,4,Assiut governorate,Assiut governorate,Assiut governorate,,27.333333,EGY,30.833333,POINT (30.833333 27.333333),168902,Egypt,651,Middle East,1,1,1993-03-05 00:00:00.000,1993-03-05 00:00:00.000,1,0,1,0,2,2,2,651,
7423,EGY-1993-1-241-4,1993,1993,1993,1,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"NY Times, 1993-03-11, ""21 Reported Killed In 9 Egyptian Raids On Muslim Militants",,,,Interior Ministry,1,Aswan town,Aswan town,Aswan governorate,,24.087500,EGY,32.898889,POINT (32.898889 24.087500),164586,Egypt,651,Middle East,1,1,1993-03-06 00:00:00.000,1993-03-06 00:00:00.000,1,0,0,0,1,1,1,651,
7049,EGY-1993-1-241-5,1993,1993,1993,1,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"NY Times, 1993-03-11, ""21 Reported Killed In 9 Egyptian Raids On Muslim Militants",,,,Interior Ministry,1,Cairo city,Cairo city,Cairo governorate,,30.050000,EGY,31.250000,POINT (31.250000 30.050000),173223,Egypt,651,Middle East,1,1,1993-03-09 00:00:00.000,1993-03-09 00:00:00.000,3,8,0,0,11,11,11,651,
7052,EGY-1993-1-241-6,1993,1993,1993,1,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"NY Times, 1993-03-11, ""21 Reported Killed In 9 Egyptian Raids On Muslim Militants",,,,Interior Ministry,1,Aswan town,Aswan town (Al-Rahman mosque),Aswan governorate,,24.087500,EGY,32.898889,POINT (32.898889 24.087500),164586,Egypt,651,Middle East,1,1,1993-03-09 00:00:00.000,1993-03-09 00:00:00.000,0,8,0,0,8,8,8,651,
7134,EGY-1993-1-241-7,1993,1993,1993,1,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"NY Times, 1993-03-11, ""21 Reported Killed In 9 Egyptian Raids On Muslim Militants",,,,Interior Ministry,1,Cairo city,Cairo city (Imbaba section/neighborhood),Cairo governorate,,30.050000,EGY,31.250000,POINT (31.250000 30.050000),173223,Egypt,651,Middle East,1,1,1993-03-10 00:00:00.000,1993-03-10 00:00:00.000,0,2,2,0,4,4,4,651,
7302,EGY-1993-1-241-8,1993,1993,1993,1,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"NY Times, 1993-03-12, ""Egyptian Officer Dies; Radicals Are Blamed",,,,police,1,Sohag town,Sohag town,Sohag governorate,,26.550000,EGY,31.700000,POINT (31.700000 26.550000),168184,Egypt,651,Middle East,1,1,1993-03-11 00:00:00.000,1993-03-11 00:00:00.000,1,0,0,0,1,1,1,651,
7009,EGY-1993-1-241-9,1993,1993,1993,1,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"AP, 1993-03-17, ""150 arrested in raid, officer killed",,,,police,1,Al Badari,Al Badari island,Assiut governorate,,26.983333,EGY,31.400000,POINT (31.400000 26.983333),168183,Egypt,651,Middle East,1,1,1993-03-16 00:00:00.000,1993-03-16 00:00:00.000,1,0,0,0,1,1,1,651,
