Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Egypt, Arab Rep.",EGY,2014,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),SG.VAW.1549.ZS,14
"Egypt, Arab Rep.",EGY,2014,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,12.8
"Egypt, Arab Rep.",EGY,2008,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,14.8
"Egypt, Arab Rep.",EGY,2005,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,37.4
"Egypt, Arab Rep.",EGY,2014,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,7
"Egypt, Arab Rep.",EGY,2008,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,7.9
"Egypt, Arab Rep.",EGY,2005,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,19
"Egypt, Arab Rep.",EGY,2014,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,25.5
"Egypt, Arab Rep.",EGY,2008,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,31.5
"Egypt, Arab Rep.",EGY,2005,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,40.4
"Egypt, Arab Rep.",EGY,2014,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,24.1
"Egypt, Arab Rep.",EGY,2008,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,29.4
"Egypt, Arab Rep.",EGY,2005,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,39.8
"Egypt, Arab Rep.",EGY,2014,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,35.7
"Egypt, Arab Rep.",EGY,2008,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,39.3
"Egypt, Arab Rep.",EGY,2005,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,50
"Egypt, Arab Rep.",EGY,2014,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,19.9
"Egypt, Arab Rep.",EGY,2008,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,21.7
"Egypt, Arab Rep.",EGY,2005,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,33.5
"Egypt, Arab Rep.",EGY,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.097
"Egypt, Arab Rep.",EGY,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,0.11
